Model,Split,Accuracy,Precision,Recall,F1-score
SVM-linear-Digits-PCA,50:50,0.9566184649610678,0.9576953694411904,0.9566184649610678,0.9564194256982538
SVM-poly-Digits-PCA,50:50,0.9599555061179088,0.9604009792448309,0.9599555061179088,0.9598623831201104
SVM-rbf-Digits-PCA,50:50,0.9777530589543938,0.9778886345908908,0.9777530589543938,0.9776497737609664
SVM-sigmoid-Digits-PCA,50:50,0.932146829810901,0.9337208030191342,0.932146829810901,0.932161407981225
MLP-Digits-PCA,50:50,0.96440489432703,0.964630294715046,0.96440489432703,0.9643547022136538
RandomForest-Digits-PCA,50:50,0.9343715239154616,0.9350183916020073,0.9343715239154616,0.9339828457001416
SVM-linear-Digits-PCA,60:40,0.9694019471488178,0.9696666308090878,0.9694019471488178,0.9691761491901157
SVM-poly-Digits-PCA,60:40,0.972183588317107,0.9729218964015576,0.972183588317107,0.9720795188717035
SVM-rbf-Digits-PCA,60:40,0.9819193324061196,0.9821852009939361,0.9819193324061196,0.9818181245849048
SVM-sigmoid-Digits-PCA,60:40,0.9318497913769124,0.9325549178763993,0.9318497913769124,0.9316403692110808
MLP-Digits-PCA,60:40,0.972183588317107,0.9729890173328171,0.972183588317107,0.972156862355921
RandomForest-Digits-PCA,60:40,0.9485396383866481,0.9491753083156816,0.9485396383866481,0.9484136029877257
SVM-linear-Digits-PCA,70:30,0.9703703703703703,0.9703443831729834,0.9703703703703703,0.9701448760860987
SVM-poly-Digits-PCA,70:30,0.975925925925926,0.9763842256643224,0.975925925925926,0.9758158619887624
SVM-rbf-Digits-PCA,70:30,0.975925925925926,0.9762953527249293,0.975925925925926,0.9758357606504025
SVM-sigmoid-Digits-PCA,70:30,0.9296296296296296,0.9353696377646837,0.9296296296296296,0.9305458850644703
MLP-Digits-PCA,70:30,0.9722222222222222,0.9727538887666006,0.9722222222222222,0.9721793143977695
RandomForest-Digits-PCA,70:30,0.9537037037037037,0.9547261151156009,0.9537037037037037,0.9537269416844746
SVM-linear-Digits-PCA,80:20,0.9777777777777777,0.9778718907079123,0.9777777777777777,0.9774254702143955
SVM-poly-Digits-PCA,80:20,0.9805555555555555,0.9806833254420975,0.9805555555555555,0.9804280934360152
SVM-rbf-Digits-PCA,80:20,0.9777777777777777,0.9780675024870071,0.9777777777777777,0.9777316049474446
SVM-sigmoid-Digits-PCA,80:20,0.9305555555555556,0.9349549523841905,0.9305555555555556,0.9312989853664674
MLP-Digits-PCA,80:20,0.975,0.975261157539118,0.975,0.9747799078103718
RandomForest-Digits-PCA,80:20,0.9555555555555556,0.9558574728014455,0.9555555555555556,0.9551031634494074
