Model,Split,Accuracy,Precision,Recall,F1-score
SVM-linear-Wine-PCA,50:50,0.9662921348314607,0.9700374531835205,0.9662921348314607,0.9665288889327323
SVM-poly-Wine-PCA,50:50,0.9550561797752809,0.9585699693564862,0.9550561797752809,0.95461146664999
SVM-rbf-Wine-PCA,50:50,0.9887640449438202,0.9892134831460673,0.9887640449438202,0.9887972775822591
SVM-sigmoid-Wine-PCA,50:50,0.898876404494382,0.9054307116104868,0.898876404494382,0.8996357523860945
MLP-Wine-PCA,50:50,0.9775280898876404,0.9783399782529901,0.9775280898876404,0.9774043712161601
RandomForest-Wine-PCA,50:50,0.9101123595505618,0.9102363425029059,0.9101123595505618,0.9099802175678878
SVM-linear-Wine-PCA,60:40,0.9861111111111112,0.9868055555555555,0.9861111111111112,0.9861673414304993
SVM-poly-Wine-PCA,60:40,0.9583333333333334,0.9629629629629629,0.9583333333333334,0.9584224598930481
SVM-rbf-Wine-PCA,60:40,0.9861111111111112,0.9868055555555555,0.9861111111111112,0.9861673414304993
SVM-sigmoid-Wine-PCA,60:40,0.9861111111111112,0.9868055555555555,0.9861111111111112,0.9861673414304993
MLP-Wine-PCA,60:40,0.9722222222222222,0.9734722222222223,0.9722222222222222,0.972045976510262
RandomForest-Wine-PCA,60:40,0.9166666666666666,0.9183333333333334,0.9166666666666666,0.9171875957590243
SVM-linear-Wine-PCA,70:30,0.9629629629629629,0.9673202614379085,0.9629629629629629,0.9631944444444445
SVM-poly-Wine-PCA,70:30,0.9629629629629629,0.9650950292397661,0.9629629629629629,0.9625859730698442
SVM-rbf-Wine-PCA,70:30,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629
SVM-sigmoid-Wine-PCA,70:30,0.9629629629629629,0.9673202614379085,0.9629629629629629,0.9631944444444445
MLP-Wine-PCA,70:30,0.9814814814814815,0.9826388888888888,0.9814814814814815,0.981554331672349
RandomForest-Wine-PCA,70:30,0.9074074074074074,0.90993265993266,0.9074074074074074,0.9081647806587663
SVM-linear-Wine-PCA,80:20,0.9722222222222222,0.974074074074074,0.9722222222222222,0.9719701552732407
SVM-poly-Wine-PCA,80:20,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9722633744855966
SVM-rbf-Wine-PCA,80:20,1.0,1.0,1.0,1.0
SVM-sigmoid-Wine-PCA,80:20,0.9722222222222222,0.9747474747474748,0.9722222222222222,0.9723691945914168
MLP-Wine-PCA,80:20,1.0,1.0,1.0,1.0
RandomForest-Wine-PCA,80:20,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
