Model,Split,Accuracy,Precision,Recall,F1-score
SVM-linear-Wine,50:50,0.9775280898876404,0.9783399782529901,0.9775280898876404,0.9774043712161601
SVM-poly-Wine,50:50,0.9213483146067416,0.9240405615103883,0.9213483146067416,0.9206333560502531
SVM-rbf-Wine,50:50,0.9775280898876404,0.9775280898876404,0.9775280898876404,0.9775280898876404
SVM-sigmoid-Wine,50:50,0.9662921348314607,0.9664111037673495,0.9662921348314607,0.9661625275415491
MLP-Wine,50:50,0.9775280898876404,0.979256698357822,0.9775280898876404,0.9776470588235293
RandomForest-Wine,50:50,0.9775280898876404,0.9783399782529901,0.9775280898876404,0.9774043712161601
SVM-linear-Wine,60:40,0.9861111111111112,0.9866666666666666,0.9861111111111112,0.9861310021084457
SVM-poly-Wine,60:40,0.9444444444444444,0.9465811965811967,0.9444444444444444,0.9442283950617285
SVM-rbf-Wine,60:40,0.9861111111111112,0.986574074074074,0.9861111111111112,0.9860411258716343
SVM-sigmoid-Wine,60:40,0.9722222222222222,0.9734722222222223,0.9722222222222222,0.972045976510262
MLP-Wine,60:40,0.9861111111111112,0.9866666666666666,0.9861111111111112,0.9861310021084457
RandomForest-Wine,60:40,0.9861111111111112,0.9866666666666666,0.9861111111111112,0.9861310021084457
SVM-linear-Wine,70:30,0.9629629629629629,0.9650950292397661,0.9629629629629629,0.9625859730698442
SVM-poly-Wine,70:30,0.9444444444444444,0.9471026049973418,0.9444444444444444,0.9440179382039848
SVM-rbf-Wine,70:30,0.9814814814814815,0.9823232323232324,0.9814814814814815,0.9813775282901185
SVM-sigmoid-Wine,70:30,0.9629629629629629,0.9650950292397661,0.9629629629629629,0.9625859730698442
MLP-Wine,70:30,0.9814814814814815,0.9824561403508772,0.9814814814814815,0.9815058961400425
RandomForest-Wine,70:30,1.0,1.0,1.0,1.0
SVM-linear-Wine,80:20,0.9722222222222222,0.974074074074074,0.9722222222222222,0.9719701552732407
SVM-poly-Wine,80:20,0.9166666666666666,0.9225071225071224,0.9166666666666666,0.9155725840783313
SVM-rbf-Wine,80:20,0.9722222222222222,0.974074074074074,0.9722222222222222,0.9719701552732407
SVM-sigmoid-Wine,80:20,1.0,1.0,1.0,1.0
MLP-Wine,80:20,0.9444444444444444,0.9465811965811967,0.9444444444444444,0.944269005847953
RandomForest-Wine,80:20,1.0,1.0,1.0,1.0
