Model,Split,Accuracy,Precision,Recall,F1-score
SVM-linear-Wine,50:50,0.9775280898876404,0.9783399782529901,0.9775280898876404,0.9774043712161601
SVM-poly-Wine,50:50,0.9213483146067416,0.9240405615103883,0.9213483146067416,0.9206333560502531
SVM-rbf-Wine,50:50,0.9775280898876404,0.9775280898876404,0.9775280898876404,0.9775280898876404
SVM-sigmoid-Wine,50:50,0.9662921348314607,0.9664111037673495,0.9662921348314607,0.9661625275415491
MLP-Wine,50:50,0.9775280898876404,0.979256698357822,0.9775280898876404,0.9776470588235293
RandomForest-Wine,50:50,0.9775280898876404,0.9783399782529901,0.9775280898876404,0.9774043712161601
SVM-linear-Wine,60:40,0.9861111111111112,0.9866666666666666,0.9861111111111112,0.9861310021084457
SVM-poly-Wine,60:40,0.9444444444444444,0.9465811965811967,0.9444444444444444,0.9442283950617285
SVM-rbf-Wine,60:40,0.9861111111111112,0.986574074074074,0.9861111111111112,0.9860411258716343
SVM-sigmoid-Wine,60:40,0.9722222222222222,0.9734722222222223,0.9722222222222222,0.972045976510262
MLP-Wine,60:40,0.9861111111111112,0.9866666666666666,0.9861111111111112,0.9861310021084457
RandomForest-Wine,60:40,0.9861111111111112,0.9866666666666666,0.9861111111111112,0.9861310021084457
SVM-linear-Wine,70:30,0.9629629629629629,0.9650950292397661,0.9629629629629629,0.9625859730698442
SVM-poly-Wine,70:30,0.9444444444444444,0.9471026049973418,0.9444444444444444,0.9440179382039848
SVM-rbf-Wine,70:30,0.9814814814814815,0.9823232323232324,0.9814814814814815,0.9813775282901185
SVM-sigmoid-Wine,70:30,0.9629629629629629,0.9650950292397661,0.9629629629629629,0.9625859730698442
MLP-Wine,70:30,0.9814814814814815,0.9824561403508772,0.9814814814814815,0.9815058961400425
RandomForest-Wine,70:30,1.0,1.0,1.0,1.0
SVM-linear-Wine,80:20,0.9722222222222222,0.974074074074074,0.9722222222222222,0.9719701552732407
SVM-poly-Wine,80:20,0.9166666666666666,0.9225071225071224,0.9166666666666666,0.9155725840783313
SVM-rbf-Wine,80:20,0.9722222222222222,0.974074074074074,0.9722222222222222,0.9719701552732407
SVM-sigmoid-Wine,80:20,1.0,1.0,1.0,1.0
MLP-Wine,80:20,0.9444444444444444,0.9465811965811967,0.9444444444444444,0.944269005847953
RandomForest-Wine,80:20,1.0,1.0,1.0,1.0
SVM-linear-Digits,50:50,0.9710789766407119,0.9717467346794982,0.9710789766407119,0.9710379739260558
SVM-poly-Digits,50:50,0.9799777530589544,0.9801486280925138,0.9799777530589544,0.9799798751893821
SVM-rbf-Digits,50:50,0.9710789766407119,0.97185817877361,0.9710789766407119,0.9709906252323571
SVM-sigmoid-Digits,50:50,0.9443826473859844,0.9463057606643422,0.9443826473859844,0.9446788291535038
MLP-Digits,50:50,0.9710789766407119,0.9716352414938865,0.9710789766407119,0.9710736566963238
RandomForest-Digits,50:50,0.9577308120133482,0.9591900048696282,0.9577308120133482,0.9576780706002179
SVM-linear-Digits,60:40,0.9707927677329624,0.9720804403292321,0.9707927677329624,0.970928283647336
SVM-poly-Digits,60:40,0.9847009735744089,0.9854690482643145,0.9847009735744089,0.9848613144554517
SVM-rbf-Digits,60:40,0.9819193324061196,0.9823391162233508,0.9819193324061196,0.9819205513604491
SVM-sigmoid-Digits,60:40,0.9374130737134909,0.9384214859922931,0.9374130737134909,0.9373375837004183
MLP-Digits,60:40,0.9735744089012517,0.9738667466036659,0.9735744089012517,0.9735549396680664
RandomForest-Digits,60:40,0.9638386648122392,0.9651833958690352,0.9638386648122392,0.9638044640655719
SVM-linear-Digits,70:30,0.9796296296296296,0.980554995067707,0.9796296296296296,0.9795343053315172
SVM-poly-Digits,70:30,0.975925925925926,0.9765092241226542,0.975925925925926,0.9759653504194752
SVM-rbf-Digits,70:30,0.9814814814814815,0.9820058305187402,0.9814814814814815,0.98146570211835
SVM-sigmoid-Digits,70:30,0.9425925925925925,0.9443624894844354,0.9425925925925925,0.9424870015965131
MLP-Digits,70:30,0.9796296296296296,0.9797492989753052,0.9796296296296296,0.9796240278977052
RandomForest-Digits,70:30,0.9648148148148148,0.9666287485255305,0.9648148148148148,0.9648494979064617
SVM-linear-Digits,80:20,0.975,0.9754073563695275,0.975,0.974897310927775
SVM-poly-Digits,80:20,0.9944444444444445,0.9945966800133467,0.9944444444444445,0.9944439085042982
SVM-rbf-Digits,80:20,0.9833333333333333,0.9838509562193773,0.9833333333333333,0.9833234474833993
SVM-sigmoid-Digits,80:20,0.9472222222222222,0.9489159451659452,0.9472222222222222,0.9468845490172076
MLP-Digits,80:20,0.9805555555555555,0.9810269001058474,0.9805555555555555,0.9805001803280962
RandomForest-Digits,80:20,0.9638888888888889,0.9644324534852787,0.9638888888888889,0.9636095059177866
SVM-linear-Wine-PCA,50:50,0.9662921348314607,0.9700374531835205,0.9662921348314607,0.9665288889327323
SVM-poly-Wine-PCA,50:50,0.9550561797752809,0.9585699693564862,0.9550561797752809,0.95461146664999
SVM-rbf-Wine-PCA,50:50,0.9887640449438202,0.9892134831460673,0.9887640449438202,0.9887972775822591
SVM-sigmoid-Wine-PCA,50:50,0.898876404494382,0.9054307116104868,0.898876404494382,0.8996357523860945
MLP-Wine-PCA,50:50,0.9775280898876404,0.9783399782529901,0.9775280898876404,0.9774043712161601
RandomForest-Wine-PCA,50:50,0.9101123595505618,0.9102363425029059,0.9101123595505618,0.9099802175678878
SVM-linear-Wine-PCA,60:40,0.9861111111111112,0.9868055555555555,0.9861111111111112,0.9861673414304993
SVM-poly-Wine-PCA,60:40,0.9583333333333334,0.9629629629629629,0.9583333333333334,0.9584224598930481
SVM-rbf-Wine-PCA,60:40,0.9861111111111112,0.9868055555555555,0.9861111111111112,0.9861673414304993
SVM-sigmoid-Wine-PCA,60:40,0.9861111111111112,0.9868055555555555,0.9861111111111112,0.9861673414304993
MLP-Wine-PCA,60:40,0.9722222222222222,0.9734722222222223,0.9722222222222222,0.972045976510262
RandomForest-Wine-PCA,60:40,0.9166666666666666,0.9183333333333334,0.9166666666666666,0.9171875957590243
SVM-linear-Wine-PCA,70:30,0.9629629629629629,0.9673202614379085,0.9629629629629629,0.9631944444444445
SVM-poly-Wine-PCA,70:30,0.9629629629629629,0.9650950292397661,0.9629629629629629,0.9625859730698442
SVM-rbf-Wine-PCA,70:30,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629
SVM-sigmoid-Wine-PCA,70:30,0.9629629629629629,0.9673202614379085,0.9629629629629629,0.9631944444444445
MLP-Wine-PCA,70:30,0.9814814814814815,0.9826388888888888,0.9814814814814815,0.981554331672349
RandomForest-Wine-PCA,70:30,0.9074074074074074,0.90993265993266,0.9074074074074074,0.9081647806587663
SVM-linear-Wine-PCA,80:20,0.9722222222222222,0.974074074074074,0.9722222222222222,0.9719701552732407
SVM-poly-Wine-PCA,80:20,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9722633744855966
SVM-rbf-Wine-PCA,80:20,1.0,1.0,1.0,1.0
SVM-sigmoid-Wine-PCA,80:20,0.9722222222222222,0.9747474747474748,0.9722222222222222,0.9723691945914168
MLP-Wine-PCA,80:20,1.0,1.0,1.0,1.0
RandomForest-Wine-PCA,80:20,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
SVM-linear-Digits-PCA,50:50,0.9566184649610678,0.9576953694411904,0.9566184649610678,0.9564194256982538
SVM-poly-Digits-PCA,50:50,0.9599555061179088,0.9604009792448309,0.9599555061179088,0.9598623831201104
SVM-rbf-Digits-PCA,50:50,0.9777530589543938,0.9778886345908908,0.9777530589543938,0.9776497737609664
SVM-sigmoid-Digits-PCA,50:50,0.932146829810901,0.9337208030191342,0.932146829810901,0.932161407981225
MLP-Digits-PCA,50:50,0.96440489432703,0.964630294715046,0.96440489432703,0.9643547022136538
RandomForest-Digits-PCA,50:50,0.9343715239154616,0.9350183916020073,0.9343715239154616,0.9339828457001416
SVM-linear-Digits-PCA,60:40,0.9694019471488178,0.9696666308090878,0.9694019471488178,0.9691761491901157
SVM-poly-Digits-PCA,60:40,0.972183588317107,0.9729218964015576,0.972183588317107,0.9720795188717035
SVM-rbf-Digits-PCA,60:40,0.9819193324061196,0.9821852009939361,0.9819193324061196,0.9818181245849048
SVM-sigmoid-Digits-PCA,60:40,0.9318497913769124,0.9325549178763993,0.9318497913769124,0.9316403692110808
MLP-Digits-PCA,60:40,0.972183588317107,0.9729890173328171,0.972183588317107,0.972156862355921
RandomForest-Digits-PCA,60:40,0.9485396383866481,0.9491753083156816,0.9485396383866481,0.9484136029877257
SVM-linear-Digits-PCA,70:30,0.9703703703703703,0.9703443831729834,0.9703703703703703,0.9701448760860987
SVM-poly-Digits-PCA,70:30,0.975925925925926,0.9763842256643224,0.975925925925926,0.9758158619887624
SVM-rbf-Digits-PCA,70:30,0.975925925925926,0.9762953527249293,0.975925925925926,0.9758357606504025
SVM-sigmoid-Digits-PCA,70:30,0.9296296296296296,0.9353696377646837,0.9296296296296296,0.9305458850644703
MLP-Digits-PCA,70:30,0.9722222222222222,0.9727538887666006,0.9722222222222222,0.9721793143977695
RandomForest-Digits-PCA,70:30,0.9537037037037037,0.9547261151156009,0.9537037037037037,0.9537269416844746
SVM-linear-Digits-PCA,80:20,0.9777777777777777,0.9778718907079123,0.9777777777777777,0.9774254702143955
SVM-poly-Digits-PCA,80:20,0.9805555555555555,0.9806833254420975,0.9805555555555555,0.9804280934360152
SVM-rbf-Digits-PCA,80:20,0.9777777777777777,0.9780675024870071,0.9777777777777777,0.9777316049474446
SVM-sigmoid-Digits-PCA,80:20,0.9305555555555556,0.9349549523841905,0.9305555555555556,0.9312989853664674
MLP-Digits-PCA,80:20,0.975,0.975261157539118,0.975,0.9747799078103718
RandomForest-Digits-PCA,80:20,0.9555555555555556,0.9558574728014455,0.9555555555555556,0.9551031634494074
